Temp,"HSN(Si,Ti)@bcc","HSN(Ti,Ti)@bcc","HSN(Si,Si)@bcc"
470,1.63835e+06,1.82103e+06,1.81814e+06
469,1.65566e+06,1.83839e+06,1.83546e+06
468,1.67323e+06,1.856e+06,1.85304e+06
467,1.69105e+06,1.87387e+06,1.87087e+06
466,1.70913e+06,1.89201e+06,1.88897e+06
465,1.72748e+06,1.91041e+06,1.90733e+06
464,1.7461e+06,1.92908e+06,1.92596e+06
463,1.765e+06,1.94803e+06,1.94488e+06
462,1.78419e+06,1.96726e+06,1.96407e+06
461,1.80366e+06,1.98678e+06,1.98355e+06
460,1.82342e+06,2.00659e+06,2.00333e+06
459,1.84348e+06,2.02671e+06,2.0234e+06
458,1.86385e+06,2.04712e+06,2.04378e+06
457,1.88453e+06,2.06785e+06,2.06447e+06
456,1.90552e+06,2.08889e+06,2.08548e+06
455,1.92684e+06,2.11026e+06,2.10681e+06
454,1.94849e+06,2.13196e+06,2.12847e+06
453,1.97047e+06,2.15399e+06,2.15046e+06
452,1.99279e+06,2.17636e+06,2.1728e+06
451,2.01547e+06,2.19909e+06,2.19549e+06
450,2.0385e+06,2.22216e+06,2.21853e+06
449,2.06189e+06,2.24561e+06,2.24193e+06
448,2.08565e+06,2.26942e+06,2.26571e+06
447,2.10979e+06,2.29361e+06,2.28986e+06
446,2.13432e+06,2.31818e+06,2.3144e+06
445,2.15924e+06,2.34315e+06,2.33934e+06
444,2.18456e+06,2.36852e+06,2.36467e+06
443,2.21029e+06,2.3943e+06,2.39041e+06
442,2.23644e+06,2.4205e+06,2.41657e+06
441,2.26301e+06,2.44712e+06,2.44316e+06
440,2.29002e+06,2.47418e+06,2.47019e+06
439,2.31748e+06,2.50169e+06,2.49765e+06
438,2.34539e+06,2.52964e+06,2.52558e+06
437,2.37376e+06,2.55806e+06,2.55396e+06
436,2.4026e+06,2.58696e+06,2.58282e+06
435,2.43193e+06,2.61634e+06,2.61216e+06
434,2.46175e+06,2.64621e+06,2.642e+06
433,2.49208e+06,2.67658e+06,2.67233e+06
432,2.52292e+06,2.70747e+06,2.70319e+06
431,2.55429e+06,2.73888e+06,2.73457e+06
430,2.58619e+06,2.77084e+06,2.76649e+06
429,2.61864e+06,2.80334e+06,2.79895e+06
428,2.65166e+06,2.8364e+06,2.83198e+06
427,2.68525e+06,2.87004e+06,2.86558e+06
426,2.71942e+06,2.90426e+06,2.89977e+06
425,2.75419e+06,2.93908e+06,2.93456e+06
424,2.78958e+06,2.97452e+06,2.96996e+06
423,2.82559e+06,3.01058e+06,3.00598e+06
422,2.86224e+06,3.04728e+06,3.04265e+06
421,2.89955e+06,3.08463e+06,3.07997e+06
420,2.93753e+06,3.12266e+06,3.11796e+06
419,2.97619e+06,3.16137e+06,3.15663e+06
418,3.01555e+06,3.20078e+06,3.19601e+06
417,3.05563e+06,3.24091e+06,3.2361e+06
416,3.09644e+06,3.28177e+06,3.27693e+06
415,3.13801e+06,3.32338e+06,3.31851e+06
414,3.18034e+06,3.36576e+06,3.36086e+06
413,3.22346e+06,3.40893e+06,3.40399e+06
412,3.26738e+06,3.4529e+06,3.44793e+06
411,3.31213e+06,3.4977e+06,3.49269e+06
410,3.35772e+06,3.54334e+06,3.5383e+06
409,3.40418e+06,3.58984e+06,3.58477e+06
408,3.45152e+06,3.63723e+06,3.63213e+06
407,3.49977e+06,3.68553e+06,3.68039e+06
406,3.54895e+06,3.73476e+06,3.72958e+06
405,3.59908e+06,3.78493e+06,3.77973e+06
404,3.65019e+06,3.83609e+06,3.83085e+06
403,3.70229e+06,3.88824e+06,3.88297e+06
402,3.75542e+06,3.94142e+06,3.93611e+06
401,3.80961e+06,3.99565e+06,3.99031e+06
400,3.86487e+06,4.05096e+06,4.04559e+06
399,3.92123e+06,4.10737e+06,4.10197e+06
398,3.97873e+06,4.16492e+06,4.15948e+06
397,4.03739e+06,4.22363e+06,4.21815e+06
396,4.09725e+06,4.28353e+06,4.27802e+06
395,4.15832e+06,4.34466e+06,4.33912e+06
394,4.22066e+06,4.40704e+06,4.40147e+06
393,4.28428e+06,4.47071e+06,4.46511e+06
392,4.34923e+06,4.53571e+06,4.53007e+06
391,4.41554e+06,4.60207e+06,4.5964e+06
390,4.48325e+06,4.66982e+06,4.66412e+06
389,4.55239e+06,4.73901e+06,4.73328e+06
388,4.62301e+06,4.80967e+06,4.80391e+06
387,4.69514e+06,4.88185e+06,4.87605e+06
386,4.76883e+06,4.95559e+06,4.94976e+06
385,4.84412e+06,5.03093e+06,5.02507e+06
384,4.92106e+06,5.10792e+06,5.10202e+06
383,4.99969e+06,5.18659e+06,5.18067e+06
382,5.08007e+06,5.26702e+06,5.26106e+06
381,5.16223e+06,5.34923e+06,5.34324e+06
380,5.24625e+06,5.43329e+06,5.42727e+06
379,5.33216e+06,5.51925e+06,5.5132e+06
378,5.42003e+06,5.60717e+06,5.60108e+06
377,5.50991e+06,5.6971e+06,5.69098e+06
376,5.60188e+06,5.78911e+06,5.78296e+06
375,5.69598e+06,5.88326e+06,5.87708e+06
374,5.79228e+06,5.97961e+06,5.9734e+06
373,5.89087e+06,6.07824e+06,6.072e+06
372,5.9918e+06,6.17922e+06,6.17294e+06
371,6.09514e+06,6.28262e+06,6.27631e+06
370,6.20099e+06,6.38851e+06,6.38217e+06
369,6.30942e+06,6.49699e+06,6.49061e+06
368,6.42051e+06,6.60812e+06,6.60172e+06
367,6.53436e+06,6.72202e+06,6.71558e+06
366,6.65105e+06,6.83875e+06,6.83229e+06
