HSN[Ti,Ti] 3.89673e+06
HSN[Ti,Cr] 215625
HSN[Ti,Mn] 205322
HSN[Ti,Fe] 136442
HSN[Ti,Co] 58783.1
HSN[Ti,Nb] 293489
HSN[Ti,Mo] 185557
         HSN[Cr,Al] 152565
HSN[Cr,Si] 162551
HSN[Cr,Ti] 215625
HSN[Cr,Cr] 115467
HSN[Cr,Mn] 74234.5
HSN[Cr,Fe] 43601
HSN[Cr,Co] 14214.7
HSN[Cr,Nb] 170275
HSN[Cr,Mo] 34858.4
         HSN[Mn,Al] 153750
HSN[Mn,Si] 208262
HSN[Mn,Ti] 205322
HSN[Mn,Cr] 74234.5
HSN[Mn,Mn] 5.72763e+06
HSN[Mn,Fe] 55065.7
HSN[Mn,Co] 31353.4
HSN[Mn,Nb] 193969
HSN[Mn,Mo] 41861.7
         HSN[Fe,Al] 116277
HSN[Fe,Si] 149275
HSN[Fe,Ti] 136442
HSN[Fe,Cr] 43601
HSN[Fe,Mn] 55065.7
HSN[Fe,Fe] 110972
HSN[Fe,Co] 26066
HSN[Fe,Nb] 115735
HSN[Fe,Mo] 57458.8
         HSN[Co,Al] 55733.1
HSN[Co,Si] 46981.8
HSN[Co,Ti] 58783.1
HSN[Co,Cr] 14214.7
HSN[Co,Mn] 31353.4
HSN[Co,Fe] 26066
HSN[Co,Co] 1.24691e+06
HSN[Co,Nb] 123432
HSN[Co,Mo] 14616.8
         HSN[Nb,Al] 223639
HSN[Nb,Si] 381263
HSN[Nb,Ti] 293489
HSN[Nb,Cr] 170275
HSN[Nb,Mn] 193969
HSN[Nb,Fe] 115735
HSN[Nb,Co] 123432
HSN[Nb,Nb] 1.48943e+06
HSN[Nb,Mo] 157758
         HSN[Mo,Al] 164111
HSN[Mo,Si] 269126
HSN[Mo,Ti] 185557
HSN[Mo,Cr] 34858.4
HSN[Mo,Mn] 41861.7
HSN[Mo,Fe] 57458.8
HSN[Mo,Co] 14616.8
HSN[Mo,Nb] 157758
HSN[Mo,Mo] 626615

Determinant of Hessian Matrix of G:
|HSN| 1.12477e+54

############## Point 4#############
Temperature 1627
Phase Name = Liquid
Hessian Matrix of G:
HSN[Al,Al] 1.44696e+06
HSN[Al,Si] 381584
HSN[Al,Ti] 251938
HSN[Al,Cr] 133099
HSN[Al,Mn] 155886
HSN[Al,Fe] 92477.4
HSN[Al,Co] 67194.8
HSN[Al,Nb] 231278
HSN[Al,Mo] 109996
         HSN[Si,Al] 381584
HSN[Si,Si] 2.33652e+06
HSN[Si,Ti] 210023
HSN[Si,Cr] 167858
HSN[Si,Mn] 168179
HSN[Si,Fe] 135658
HSN[Si,Co] 77801
HSN[Si,Nb] 195420
HSN[Si,Mo] 111786
         HSN[Ti,Al] 251938
HSN[Ti,Si] 210023
HSN[Ti,Ti] 1.56457e+06
HSN[Ti,Cr] 183130
HSN[Ti,Mn] 212315
HSN[Ti,Fe] 129343
HSN[Ti,Co] 65154.7
HSN[Ti,Nb] 332174
HSN[Ti,Mo] 165422
         HSN[Cr,Al] 133099
HSN[Cr,Si] 167858
HSN[Cr,Ti] 183130
HSN[Cr,Cr] 115445
HSN[Cr,Mn] 79984.6
HSN[Cr,Fe] 42642.5
HSN[Cr,Co] 10045.9
HSN[Cr,Nb] 165416
HSN[Cr,Mo] 52868.7
         HSN[Mn,Al] 155886
HSN[Mn,Si] 168179
HSN[Mn,Ti] 212315
HSN[Mn,Cr] 79984.6
HSN[Mn,Mn] 3.66233e+06
HSN[Mn,Fe] 63195.8
HSN[Mn,Co] 36042.3
HSN[Mn,Nb] 187724
HSN[Mn,Mo] 57979.8
         HSN[Fe,Al] 92477.4
HSN[Fe,Si] 135658
HSN[Fe,Ti] 129343
HSN[Fe,Cr] 42642.5
HSN[Fe,Mn] 63195.8
HSN[Fe,Fe] 112910
HSN[Fe,Co] 23728.7
HSN[Fe,Nb] 95126.8
HSN[Fe,Mo] 43687.4
         HSN[Co,Al] 67194.8
HSN[Co,Si] 77801
HSN[Co,Ti] 65154.7
HSN[Co,Cr] 10045.9
HSN[Co,Mn] 36042.3
HSN[Co,Fe] 23728.7
HSN[Co,Co] 1.42415e+06
HSN[Co,Nb] 109000
HSN[Co,Mo] 3848.74
         HSN[Nb,Al] 231278
HSN[Nb,Si] 195420
HSN[Nb,Ti] 332174
HSN[Nb,Cr] 165416
HSN[Nb,Mn] 187724
HSN[Nb,Fe] 95126.8
HSN[Nb,Co] 109000
HSN[Nb,Nb] 747668
HSN[Nb,Mo] 154880
         HSN[Mo,Al] 109996
HSN[Mo,Si] 111786
HSN[Mo,Ti] 165422
HSN[Mo,Cr] 52868.7
HSN[Mo,Mn] 57979.8
HSN[Mo,Fe] 43687.4
HSN[Mo,Co] 3848.74
HSN[Mo,Nb] 154880
HSN[Mo,Mo] 757921

Determinant of Hessian Matrix of G:
|HSN| 6.26451e+52

Phase Name = Fcc
Hessian Matrix of G:
HSN[Al,Al] 2.31532e+06
HSN[Al,Si] 384328
HSN[Al,Ti] 247727
HSN[Al,Cr] 152538
HSN[Al,Mn] 153744
HSN[Al,Fe] 116300
HSN[Al,Co] 55755.9
HSN[Al,Nb] 223606
HSN[Al,Mo] 164115
         HSN[Si,Al] 384328
HSN[Si,Si] 3.24744e+06
HSN[Si,Ti] 420212
HSN[Si,Cr] 162526
HSN[Si,Mn] 208252
HSN[Si,Fe] 149276
HSN[Si,Co] 46944.9
HSN[Si,Nb] 381229
HSN[Si,Mo] 269107
         HSN[Ti,Al] 247727
HSN[Ti,Si] 420212
HSN[Ti,Ti] 3.84071e+06
HSN[Ti,Cr] 215567
HSN[Ti,Mn] 205269
HSN[Ti,Fe] 136421
HSN[Ti,Co] 58756.7
HSN[Ti,Nb] 293427
HSN[Ti,Mo] 185511
         HSN[Cr,Al] 152538
HSN[Cr,Si] 162526
HSN[Cr,Ti] 215567
HSN[Cr,Cr] 115406
HSN[Cr,Mn] 74167.8
HSN[Cr,Fe] 43580.5
HSN[Cr,Co] 14167.3
HSN[Cr,Nb] 170196
HSN[Cr,Mo] 34796.6
         HSN[Mn,Al] 153744
HSN[Mn,Si] 208252
HSN[Mn,Ti] 205269
HSN[Mn,Cr] 74167.8
HSN[Mn,Mn] 5.66847e+06
HSN[Mn,Fe] 55055
HSN[Mn,Co] 31323.6
HSN[Mn,Nb] 193915
HSN[Mn,Mo] 41824.6
         HSN[Fe,Al] 116300
HSN[Fe,Si] 149276
HSN[Fe,Ti] 136421
HSN[Fe,Cr] 43580.5
HSN[Fe,Mn] 55055
HSN[Fe,Fe] 110969
HSN[Fe,Co] 26052.5
HSN[Fe,Nb] 115729
HSN[Fe,Mo] 57423.4
         HSN[Co,Al] 55755.9
HSN[Co,Si] 46944.9
HSN[Co,Ti] 58756.7
HSN[Co,Cr] 14167.3
HSN[Co,Mn] 31323.6
HSN[Co,Fe] 26052.5
HSN[Co,Co] 1.24705e+06
HSN[Co,Nb] 123377
HSN[Co,Mo] 14565.7
         HSN[Nb,Al] 223606
HSN[Nb,Si] 381229
HSN[Nb,Ti] 293427
HSN[Nb,Cr] 170196
HSN[Nb,Mn] 193915
HSN[Nb,Fe] 115729
HSN[Nb,Co] 123377
HSN[Nb,Nb] 1.47071e+06
HSN[Nb,Mo] 157692
         HSN[Mo,Al] 164115
HSN[Mo,Si] 269107
HSN[Mo,Ti] 185511
HSN[Mo,Cr] 34796.6
HSN[Mo,Mn] 41824.6
HSN[Mo,Fe] 57423.4
HSN[Mo,Co] 14565.7
HSN[Mo,Nb] 157692
HSN[Mo,Mo] 627735

Determinant of Hessian Matrix of G:
|HSN| 1.06439e+54

############## Point 5#############
Temperature 1626
Phase Name = Liquid
Hessian Matrix of G:
HSN[Al,Al] 1.43586e+06
HSN[Al,Si] 381617
HSN[Al,Ti] 251922
HSN[Al,Cr] 133070
HSN[Al,Mn] 155842
HSN[Al,Fe] 92472.5
HSN[Al,Co] 67140.4
HSN[Al,Nb] 231214
HSN[Al,Mo] 110016
         HSN[Si,Al] 381617
