Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
285,0.486318,4.30956e-08,0.513682,0.160589,0.375,0.464411
284,0.486795,4.0484e-08,0.513205,0.160638,0.375,0.464362
283,0.487271,3.80139e-08,0.512729,0.160687,0.375,0.464313
282,0.487749,3.56786e-08,0.512251,0.160736,0.375,0.464264
281,0.488227,3.34718e-08,0.511773,0.160785,0.375,0.464215
280,0.488706,3.13873e-08,0.511294,0.160834,0.375,0.464166
279,0.489185,2.94191e-08,0.510815,0.160883,0.375,0.464117
278,0.489666,2.75615e-08,0.510334,0.160932,0.375,0.464068
277,0.490147,2.58091e-08,0.509853,0.160981,0.375,0.464019
276,0.490628,2.41567e-08,0.509372,0.16103,0.375,0.46397
275,0.491111,2.25993e-08,0.508889,0.161079,0.375,0.463921
274,0.491594,2.1132e-08,0.508406,0.161128,0.375,0.463872
273,0.492078,1.97504e-08,0.507922,0.161177,0.375,0.463823
272,0.492562,1.845e-08,0.507438,0.161226,0.375,0.463774
271,0.493047,1.72265e-08,0.506952,0.161274,0.375,0.463726
270,0.493533,1.60761e-08,0.506467,0.161323,0.375,0.463677
269,0.49402,1.49948e-08,0.50598,0.161372,0.375,0.463628
268,0.494507,1.39791e-08,0.505493,0.16142,0.375,0.46358
267,0.494996,1.30253e-08,0.505004,0.161469,0.375,0.463531
266,0.495484,1.21302e-08,0.504516,0.161518,0.375,0.463482
265,0.495974,1.12906e-08,0.504026,0.161566,0.375,0.463434
264,0.496464,1.05034e-08,0.503536,0.161615,0.375,0.463385
263,0.496955,9.7657e-09,0.503045,0.161663,0.375,0.463337
262,0.497447,9.07484e-09,0.502553,0.161711,0.375,0.463289
261,0.497939,8.42813e-09,0.502061,0.16176,0.375,0.46324
260,0.498432,7.82308e-09,0.501568,0.161808,0.375,0.463192
259,0.498926,7.25732e-09,0.501074,0.161856,0.375,0.463144
258,0.499421,6.72857e-09,0.500579,0.161905,0.375,0.463095
257,0.499916,6.23469e-09,0.500084,0.161953,0.375,0.463047
256,0.500412,5.77364e-09,0.499588,0.162001,0.375,0.462999
255,0.500909,5.34348e-09,0.499091,0.162049,0.375,0.462951
254,0.501406,4.94237e-09,0.498594,0.162097,0.375,0.462903
253,0.501904,4.56857e-09,0.498096,0.162145,0.375,0.462855
252,0.502403,4.22041e-09,0.497597,0.162193,0.375,0.462807
251,0.502903,3.89634e-09,0.497097,0.162241,0.375,0.462759
250,0.503404,3.59486e-09,0.496596,0.162289,0.375,0.462711
249,0.503905,3.31458e-09,0.496095,0.162337,0.375,0.462663
248,0.504407,3.05416e-09,0.495593,0.162385,0.375,0.462615
247,0.504909,2.81234e-09,0.495091,0.162433,0.375,0.462567
246,0.505413,2.58794e-09,0.494587,0.162481,0.375,0.462519
245,0.505917,2.37984e-09,0.494083,0.162528,0.375,0.462472
244,0.506422,2.18698e-09,0.493578,0.162576,0.375,0.462424
243,0.506927,2.00835e-09,0.493073,0.162624,0.375,0.462376
242,0.507434,1.84303e-09,0.492566,0.162671,0.375,0.462329
241,0.507941,1.69011e-09,0.492059,0.162719,0.375,0.462281
240,0.508449,1.54877e-09,0.491551,0.162766,0.375,0.462234
239,0.508957,1.41821e-09,0.491043,0.162814,0.375,0.462186
238,0.509466,1.29771e-09,0.490534,0.162861,0.375,0.462139
237,0.509977,1.18656e-09,0.490023,0.162909,0.375,0.462091
236,0.510487,1.08411e-09,0.489513,0.162956,0.375,0.462044
235,0.510999,9.89745e-10,0.489001,0.163003,0.375,0.461997
234,0.511511,9.02896e-10,0.488489,0.163051,0.375,0.461949
233,0.512025,8.23022e-10,0.487975,0.163098,0.375,0.461902
232,0.512538,7.49618e-10,0.487462,0.163145,0.375,0.461855
231,0.513053,6.82212e-10,0.486947,0.163192,0.375,0.461808
230,0.513569,6.2036e-10,0.486431,0.16324,0.375,0.46176
229,0.514085,5.6365e-10,0.485915,0.163287,0.375,0.461713
228,0.514602,5.11695e-10,0.485398,0.163334,0.375,0.461666
227,0.515119,4.64136e-10,0.484881,0.163381,0.375,0.461619
226,0.515638,4.20635e-10,0.484362,0.163428,0.375,0.461572
225,0.516157,3.80879e-10,0.483843,0.163475,0.375,0.461525
224,0.516677,3.44577e-10,0.483323,0.163521,0.375,0.461479
223,0.517198,3.11456e-10,0.482802,0.163568,0.375,0.461432
222,0.517719,2.81263e-10,0.482281,0.163615,0.375,0.461385
221,0.518242,2.53764e-10,0.481758,0.163662,0.375,0.461338
220,0.518765,2.2874e-10,0.481235,0.163709,0.375,0.461291
219,0.519289,2.0599e-10,0.480711,0.163755,0.375,0.461245
218,0.519813,1.85324e-10,0.480187,0.163802,0.375,0.461198
217,0.520339,1.6657e-10,0.479661,0.163848,0.375,0.461152
216,0.520865,1.49567e-10,0.479135,0.163895,0.375,0.461105
215,0.521392,1.34166e-10,0.478608,0.163941,0.375,0.461059
214,0.52192,1.20228e-10,0.47808,0.163988,0.375,0.461012
213,0.522448,1.07628e-10,0.477552,0.164034,0.375,0.460966
212,0.522978,9.62487e-11,0.477022,0.164081,0.375,0.460919
